iter	Passed	Remaining
258	410	1173
259	410	1169
260	411	1165
261	412	1161
262	413	1158
263	414	1154
264	414	1150
265	415	1146
266	416	1143
267	417	1139
268	417	1135
269	418	1131
270	419	1128
271	420	1124
272	420	1121
273	421	1117
274	423	1116
275	424	1113
276	425	1109
277	425	1106
278	426	1102
279	427	1099
280	428	1095
281	429	1092
282	429	1089
283	430	1085
284	431	1082
285	432	1079
286	433	1075
287	433	1072
288	434	1069
289	435	1065
290	436	1062
291	437	1059
292	438	1057
293	439	1054
294	439	1051
295	440	1048
296	441	1044
297	442	1041
298	443	1038
299	443	1035
300	444	1032
301	445	1029
302	446	1026
303	447	1023
304	447	1020
305	448	1017
306	449	1014
307	450	1011
308	451	1008
309	451	1005
310	452	1003
311	453	1000
312	454	997
313	455	994
314	456	992
315	457	989
316	457	986
317	458	983
318	459	981
319	460	978
320	461	975
321	462	972
322	462	970
323	463	967
324	464	964
325	465	962
326	466	959
327	467	957
328	468	954
329	469	952
330	469	949
331	470	947
332	471	944
333	472	941
334	473	938
335	474	937
336	475	934
337	475	931
338	476	929
339	477	926
340	478	924
341	479	922
342	480	919
343	480	917
344	482	915
345	483	913
346	483	910
347	484	907
348	485	905
349	485	902
350	486	900
351	487	897
352	488	895
353	489	892
354	489	890
355	490	887
356	491	885
357	492	882
358	493	880
359	493	878
360	494	875
361	495	873
362	497	872
363	498	870
364	498	868
365	499	865
366	500	863
367	501	861
368	502	858
369	502	856
370	503	853
371	504	851
372	505	849
373	506	847
374	506	844
375	507	842
376	508	840
377	509	838
378	510	835
379	511	834
380	512	832
381	513	830
382	513	827
383	514	825
384	515	823
385	516	821
386	517	819
387	518	817
388	518	814
389	519	812
390	520	810
391	521	808
392	522	806
393	522	804
394	523	802
395	524	800
396	525	797
397	526	796
398	527	794
399	528	792
400	529	790
401	530	788
402	530	786
403	531	784
404	532	782
405	533	780
406	534	778
407	534	776
408	535	774
409	536	772
410	537	770
411	538	768
412	538	765
413	539	763
414	540	762
415	541	760
416	542	758
417	543	756
418	544	754
419	544	752
420	545	750
421	546	748
422	547	746
423	548	744
424	548	742
425	549	740
426	550	738
427	551	736
428	552	735
429	553	733
430	553	731
431	554	729
432	556	728
433	557	727
434	558	725
435	559	723
436	560	721
437	561	719
438	561	718
439	562	716
440	563	714
441	564	712
442	565	710
443	566	709
444	567	707
445	567	705
446	568	703
447	569	701
448	570	700
449	571	698
450	572	696
451	573	695
452	574	693
453	575	691
454	576	690
455	577	688
456	578	686
457	578	685
458	579	683
459	581	682
460	581	680
461	582	678
462	583	676
463	585	675
464	585	674
465	586	672
466	587	670
467	588	669
468	589	667
469	590	665
470	591	663
471	591	662
472	592	660
473	593	658
474	594	656
475	595	655
476	595	653
477	596	651
478	597	649
